ID,Назва,Опис,URL,Категорія,Теги,Тип,Складність,Мова,Рекомендований
21,НотаЄнота антифейкова гра,Антифейкова гра НотаЄнота — розвиваємо медіаграмотність та критичне мислення в ігровій формі.,https://notaenota.com/#games-block,Ігри,"медіаграмотність, ігри, критичне мислення",tool,beginner,uk,Ні
22,Онлайн-ігри з медіаграмотності Фільтр,Підбірка онлайн-ігор з медіаграмотності від проєкту Фільтр.,https://filter.mcsc.gov.ua/selection/ihry-z-mediahramotnosti/,Ігри,"медіаграмотність, ігри, онлайн",tool,beginner,uk,Ні
23,Пригоди тріски,Ігровий тренажер для знайомства з основами програмування через пригодницьку гру.,https://pragmatice.net/pragmaprodu/lecodageenchante/app/codaventure.html,Ігри,"ігри, програмування, початківці",tool,beginner,uk,Ні
24,Спільнота на Wordwall — інформатика 2 клас,Спільнота Wordwall з інтерактивними іграми та вправами для 2 класу з інформатики.,https://wordwall.net/uk-ua/community/2-%D0%BA%D0%BB/%D1%96%D0%BD%D1%84%D0%BE%D1%80%D0%BC%D0%B0%D1%82%D0%B8%D0%BA%D0%B0,Ігри,"Wordwall, ігри, 2 клас, інформатика",platform,beginner,uk,Ні
25,Helpinformatik 2-11 клас,Сайт helpinformatik.com — навчальні матеріали з інформатики для учнів 2–11 класів.,https://helpinformatik.com/,Навчальні матеріали з інформатики,"інформатика, уроки, 2-11 клас",platform,beginner,uk,Ні
26,Informatics 5-11 клас,Google-сайт із матеріалами до уроків інформатики для 5–11 класів.,https://sites.google.com/view/inf10/6-klas/materiali-do-urokiv?authuser=0,Навчальні матеріали з інформатики,"інформатика, 5-11 клас, матеріали",platform,intermediate,uk,Ні
27,Інформатика 10 клас стара програма,Матеріали з інформатики для 10 класу за старою програмою (школа 64).,https://sites.google.com/marschool64.net/inf-10/a,Навчальні матеріали з інформатики,"інформатика, 10 клас, стара програма",platform,intermediate,uk,Ні
28,Інформатика 10 клас,Навчальний сайт з інформатики для 10 класу школи 64.,https://sites.google.com/marschool64.net/inf-10/,Навчальні матеріали з інформатики,"інформатика, 10 клас",platform,intermediate,uk,Ні
29,Інформатика 3-4 клас,Блог учителя з матеріалами та завданнями з інформатики для 3–4 класів.,https://sofiiainf.blogspot.com/p/4.html,Навчальні матеріали з інформатики,"інформатика, 3-4 клас, НУШ",article,beginner,uk,Ні
30,Інформатика 5-11 клас Семчак,Персональний навчальний сайт Семчак — матеріали з інформатики для 5–11 класів.,https://sites.google.com/view/semchak/,Навчальні матеріали з інформатики,"інформатика, 5-11 клас, Семчак",platform,intermediate,uk,Ні
31,Інформатика 8 клас стара програма,Матеріали з інформатики для 8 класу за старою програмою.,https://sites.google.com/marschool64.net/informatika-8/,Навчальні матеріали з інформатики,"інформатика, 8 клас, стара програма",platform,intermediate,uk,Ні
70,Vidu — створення відео,Vidu — ШІ-інструмент для генерації відеоконтенту за текстовим описом.,https://www.vidu.com/,Робота з ШІ,"відео, ШІ, генерація",tool,beginner,uk,Ні
32,Інформатікс сайт Олійник Світлани 5-9 клас,WordPress-блог Олійник Світлани з матеріалами до уроків інформатики для 5–9 класів.,https://inform54.wordpress.com/,Навчальні матеріали з інформатики,"інформатика, 5-9 клас, блог вчителя",article,intermediate,uk,Ні
33,Блог Кристапчук Оксани,Блог вчителя інформатики Кристапчук Оксани з матеріалами та ідеями для уроків.,https://kristapchukoksana.blogspot.com/,Навчальні матеріали з інформатики,"блог вчителя, інформатика, уроки",article,beginner,uk,Ні
34,Блог Терлецької Інни 5-11 клас,Блог Терлецької Інни — великий архів корисних матеріалів з інформатики для 5–11 класів.,https://innaterletska.blogspot.com/p/8.html,Навчальні матеріали з інформатики,"блог вчителя, інформатика, 5-11 клас",article,intermediate,uk,Ні
35,Блог вчителя інформатики Прядуна 2-9 класи,"Сайт Прядуна — матеріали, розробки уроків та тести з інформатики для 2–9 класів.",https://teach.in.ua/3-4/4,Навчальні матеріали з інформатики,"блог вчителя, інформатика, 2-9 клас",article,beginner,uk,Ні
36,Блог вчителів інформатики 5-11 клас,Колективний блог вчителів інформатики з розробками уроків для 5–11 класів.,https://informatikpereginska.blogspot.com/p/9_7.html,Навчальні матеріали з інформатики,"блог вчителя, інформатика, 5-11 клас",article,intermediate,uk,Ні
37,Вивчаємо Python,Покрокові матеріали для вивчення Python — від основ до практичних завдань.,https://pishachok.blogspot.com/p/blog-page_37.html,Навчальні матеріали з інформатики,"Python, програмування, навчання",article,beginner,uk,Ні
38,Всеосвіта,"Освітня платформа Всеосвіта — тести, розробки уроків і навчальні матеріали.",https://vseosvita.ua/test,Навчальні матеріали з інформатики,"тести, всеосвіта, онлайн-навчання",platform,beginner,uk,Ні
39,Віртуальний кабінет інформатики 5-11 класи,Віртуальний кабінет інформатики — навчальні матеріали та ресурси для уроків 5–11 класів.,https://sites.google.com/view/teacherschool5/,Навчальні матеріали з інформатики,"інформатика, 5-11 клас, матеріали",platform,intermediate,uk,Ні
40,ДистОсвіта,Платформа ДистОсвіта — ресурси та підтримка для дистанційного навчання.,https://dystosvita.org.ua/,Навчальні матеріали з інформатики,"дистанційна освіта, платформа, вчителям",platform,beginner,uk,Ні
41,Електронний документообіг 10 клас,Таблиця Google з матеріалами до теми Електронний документообіг для 10 класу.,https://docs.google.com/spreadsheets/d/e/2PACX-1vQxAj8VC8BXUIo7ru7q9wBsvpfZwxi_1pddcM3AKw5uj8JlwTxz466qbmy7SNFv2NbWqoV21b6J0f2E/pubhtml,Навчальні матеріали з інформатики,"документообіг, 10 клас, Google Таблиці",article,intermediate,uk,Ні
42,ЗОШ 19 — корисне для уроків,"Сайт інформатики ЗОШ 19 — матеріали, посилання та корисне для уроків і не тільки.",https://sites.google.com/site/informatikackua19/,Навчальні матеріали з інформатики,"інформатика, 6 клас, НУШ",platform,beginner,uk,Ні
43,Комп'ютерна наука з паном Артемом 3-7 клас,Платформа пана Артема — уроки з комп''ютерної науки для учнів 3–7 класів.,https://itnauka.org/#digital-tools,Навчальні матеріали з інформатики,"комп''ютерна наука, 3-7 клас, цифрові інструменти",platform,beginner,uk,Ні
44,Корисні посилання для учнів (Prometheus),Особистий кабінет учня на Prometheus — доступ до курсів та навчальних матеріалів.,https://apps.prometheus.org.ua/learner-dashboard/,Навчальні матеріали з інформатики,"Prometheus, онлайн-курси, учні",platform,beginner,uk,Ні
45,МійКлас 2-4 клас,Навчальна платформа МійКлас — матеріали з інформатики НУШ для 2–4 класів.,https://www.miyklas.com.ua/p/informatika-nush,Навчальні матеріали з інформатики,"НУШ, 2-4 клас, інформатика, МійКлас",platform,beginner,uk,Ні
46,На урок,"Платформа На урок — тести, домашні завдання та навчальні матеріали для вчителів.",https://naurok.com.ua/test/homework/list,Навчальні матеріали з інформатики,"тести, На урок, домашні завдання",platform,beginner,uk,Ні
47,Онлайн-конспекти з інформатики 5-10 класи,Google-сайт з онлайн-конспектами уроків інформатики для 5–10 класів.,https://sites.google.com/view/onlayn-konspekt-z-informatiku/,Навчальні матеріали з інформатики,"конспекти, 5-10 клас, інформатика",platform,intermediate,uk,Ні
48,Освітня платформа ВЧИМО,Освітня платформа ВЧИМО — інтерактивні завдання та матеріали для учнів та вчителів.,https://vchymo.com/app/application,Навчальні матеріали з інформатики,"ВЧИМО, онлайн-навчання, платформа",platform,beginner,uk,Ні
49,Персональний сайт Чашука Олександра,Персональний сайт вчителя інформатики Чашука Олександра з матеріалами для 5–11 класів.,http://chashuk.edukit.volyn.ua/,Навчальні матеріали з інформатики,"інформатика, 5-11 клас, блог вчителя",article,intermediate,uk,Ні
50,Презентації до уроків — блог Оніцук Ганни,Блог Оніцук Ганни — архів презентацій до уроків інформатики для 5–11 класів.,https://onishchukanna.blogspot.com/,Навчальні матеріали з інформатики,"презентації, 5-11 клас, блог вчителя",article,intermediate,uk,Ні
51,Сайт інформатики Ніколаєнко,Сайт вчителя інформатики Ніколаєнко — навчальні матеріали та ресурси до уроків.,https://sites.google.com/view/nikolaenko-informat/,Навчальні матеріали з інформатики,"інформатика, сайт вчителя, матеріали",platform,intermediate,uk,Ні
52,Учительський сайт Бойка 5-11 клас,"Блог вчителя інформатики Бойка — матеріали, завдання та ресурси для 5–11 класів.",https://informatboyk.blogspot.com/,Навчальні матеріали з інформатики,"блог вчителя, 5-11 клас, інформатика",article,intermediate,uk,Ні
53,Цифрова школа — Ed-Era курси,Платформа Ed-Era — онлайн-курси та матеріали з різних предметів для середньої і старшої школи.,https://www.ed-era.com/courses,Навчальні матеріали з інформатики,"Ed-Era, онлайн-курси, цифрова освіта",platform,intermediate,uk,Ні
54,Шкільний сайт Онопрієнко 5-9 клас,Блог вчителя інформатики Онопрієнко — уроки та матеріали для 5–9 класів.,https://onopriyenkoinf.blogspot.com/,Навчальні матеріали з інформатики,"блог вчителя, 5-9 клас, інформатика",article,intermediate,uk,Ні
55,Adobe Firefly — генерація зображень,Adobe Firefly — ШІ-інструмент від Adobe для генерації та редагування зображень.,https://firefly.adobe.com/,Робота з ШІ,"Adobe, генерація зображень, ШІ",tool,beginner,uk,Ні
56,ChatGPT,"ChatGPT від OpenAI — потужний ШІ-помічник для текстових завдань, навчання та творчості.",https://chatgpt.com/,Робота з ШІ,"ChatGPT, ШІ, чат-бот",tool,beginner,uk,Ні
57,Copilot Microsoft,"Microsoft Copilot — ШІ-асистент, інтегрований у продукти Microsoft 365.",https://copilot.microsoft.com/,Робота з ШІ,"Microsoft, Copilot, ШІ",tool,beginner,uk,Ні
58,Gemini Google,"Google Gemini — мультимодальна ШІ-модель для роботи з текстом, зображеннями та кодом.",https://gemini.google.com/,Робота з ШІ,"Google, Gemini, ШІ",tool,beginner,uk,Ні
59,Ideogram — генерація зображень,Ideogram AI — безкоштовний інструмент для генерації зображень за текстовим описом.,https://ideogram.ai/,Робота з ШІ,"генерація зображень, ШІ, Ideogram",tool,beginner,uk,Ні
60,Leonardo AI — генерація зображень,Leonardo AI — платформа для генерації якісних зображень та арту за допомогою ШІ.,https://app.leonardo.ai/,Робота з ШІ,"Leonardo AI, генерація зображень, ШІ",tool,intermediate,uk,Ні
61,Mistral AI,"Mistral AI — відкрита мовна модель для чату, написання коду та аналізу тексту.",https://mistral.ai/,Робота з ШІ,"Mistral, ШІ, LLM",tool,intermediate,uk,Ні
62,NotebookLM Google,"Google NotebookLM — ШІ-помічник для роботи з документами, нотатками та дослідженнями.",https://notebooklm.google.com/,Робота з ШІ,"Google, NotebookLM, дослідження",tool,beginner,uk,Ні
63,Perplexity,Perplexity AI — інтелектуальна пошукова система з відповідями від ШІ та посиланнями на джерела.,https://www.perplexity.ai/,Робота з ШІ,"Perplexity, пошук, ШІ",tool,beginner,uk,Ні
64,Pixso — створення дизайнів,Pixso — онлайн-інструмент для UI/UX-дизайну та прототипування з підтримкою ШІ.,https://pixso.net/,Робота з ШІ,"дизайн, Pixso, прототипування",tool,intermediate,uk,Ні
65,Poe ШІ,Poe від Quora — платформа з доступом до різних ШІ-моделей в одному місці.,https://poe.com/,Робота з ШІ,"Poe, ШІ, чат-боти",tool,beginner,uk,Ні
66,Replit Agent,"Replit Agent — ШІ-асистент для програмування, що допомагає будувати застосунки з нуля.",https://replit.com/products/agent,Робота з ШІ,"Replit, програмування, ШІ-агент",tool,intermediate,uk,Ні
67,Sider,"Sider — ШІ-помічник у браузері для роботи з текстом, перекладу та навчання.",https://sider.ai/,Робота з ШІ,"Sider, ШІ, браузерний помічник",tool,beginner,uk,Ні
68,Slidesgo,Slidesgo — безкоштовні шаблони презентацій з підтримкою ШІ для вчителів та учнів.,https://slidesgo.com/,Робота з ШІ,"презентації, Slidesgo, шаблони",tool,beginner,uk,Ні
71,Обмін обличчями — AI Face Swap,AI Face Swap — онлайн-інструмент для заміни облич на фото за допомогою ШІ.,https://aifaceswap.io/,Робота з ШІ,"face swap, ШІ, зображення",tool,beginner,uk,Ні
72,Персональні асистенти — підбірка,Підбірка персональних ШІ-асистентів із Notion-сторінки — корисний огляд інструментів.,https://crenius.notion.site/6-03-02-25-161188568e9f8081b40cc39badf04fc5,Робота з ШІ,"ШІ-асистенти, Notion, підбірка",article,beginner,uk,Ні
73,Як правильно створювати запити для ШІ,Відео-урок про мистецтво написання ефективних промптів для роботи зі штучним інтелектом.,https://www.youtube.com/live/oxSR5yuos-M,Робота з ШІ,"промпти, ШІ, YouTube, навчання",video,beginner,uk,Ні
74,EPAM програми навчання,EPAM Campus — безкоштовні навчальні програми та курси для майбутніх IT-спеціалістів.,https://campus.epam.ua/ua/training,Різне,"EPAM, навчання, IT",course,advanced,uk,Ні
75,"Excel з нуля за 1,5 години","Відео-урок: освоїти Excel з абсолютного нуля за 1,5 години — практичний інтенсив.",https://www.youtube.com/live/uRARDyN7pvk,Різне,"Excel, YouTube, таблиці",video,beginner,uk,Ні
76,MagicSchool курси для вчителів,MagicSchool — сертифікаційні курси для вчителів щодо використання ШІ в освіті.,https://www.magicschool.ai/certification-courses,Різне,"MagicSchool, ШІ, вчителям",course,beginner,uk,Ні
78,Teachers winter 2025 — підбірка ресурсів,Notion-сторінка з підбіркою ресурсів і матеріалів для вчителів — зимовий випуск 2025.,https://crenius.notion.site/Teachers-winter-2025-161188568e9f80909021e0c25c4336c2,Різне,"вчителям, Notion, підбірка 2025",article,beginner,uk,Ні
79,Інтерактивна інформатика,Платформа Інтерактивна інформатика — готові інтерактивні уроки та матеріали для вчителів.,https://interact-lessons.com/,Різне,"інтерактивні уроки, інформатика, навчання",platform,beginner,uk,Ні
80,Вікторина Хто краще — 8 клас,Вікторина з інформатики для 8 класу на Wordwall — Хто краще знає матеріал?,https://wordwall.net/uk/resource/57013830/,Різне,"вікторина, 8 клас, Wordwall, інформатика",tool,intermediate,uk,Ні
81,Дія Освіта,Дія.Освіта — державна платформа для безперервного навчання та розвитку цифрових навичок.,https://osvita.diia.gov.ua/about,Різне,"Дія, освіта, держпослуги",platform,beginner,uk,Ні
82,Знайшов — освітні новини,Знайшов.com — агрегатор освітніх новин та корисного контенту для педагогів.,https://znayshov.com/news,Різне,"новини, освіта, Україна",platform,beginner,uk,Ні
83,Календар для вчителя,Онлайн-календар для вчителя — зручне планування навчального розкладу та подій.,https://alexmyz.github.io/calendar-plan/,Різне,"календар, планування, вчителям",tool,beginner,uk,Ні
84,Осьо — каталог українських діджитал-продуктів,"Osyo — каталог українських цифрових продуктів і сервісів, корисних для роботи та навчання.",https://osyo.app/,Різне,"каталог, українські продукти, діджитал",platform,beginner,uk,Ні
85,Платформа Вектор,Вектор — платформа для підвищення кваліфікації педагогів від МОН України.,https://vector.uied.gov.ua/,Різне,"Вектор, підвищення кваліфікації, педагоги",platform,beginner,uk,Ні
86,Платформа для педагогів Уміти,Уміти — освітня платформа для розвитку педагогічних компетентностей вчителів.,https://umity.in.ua/,Різне,"Уміти, педагоги, навчання",platform,beginner,uk,Ні
87,Проактивний педагог — ШІ в освіті,Блог Іринт Пахомової — стаття про штучний інтелект в освіті для проактивних педагогів.,https://educationpakhomova.blogspot.com/p/artificial-intelligence-in-education_26.html,Різне,"ШІ в освіті, блог, педагог",article,beginner,uk,Ні
88,Стаття про безкоштовний ChatGPT,Стаття: як безкоштовно використовувати ChatGPT-4 — практичні поради для вчителів та учнів.,https://theinweb.media/yak-bezkoshtovno-vikoristovuvati-chatgpt-4/,Різне,"ChatGPT, безкоштовно, ШІ",article,beginner,uk,Ні
89,Теми проєктів з інформатики,Підбірка тем для учнівських проєктів з інформатики — готові ідеї для дослідницької роботи.,https://fiz-patlay.blogspot.com/p/blog-page_19.html,Різне,"проєкти, інформатика, ідеї",article,intermediate,uk,Ні
90,ШІ для педагогів,Огляд ШІ-інструментів для педагогів — як використовувати штучний інтелект у навчанні.,https://educationpakhomova.blogspot.com/p/ai-in-education.html,Різне,"ШІ, педагоги, інструменти",article,beginner,uk,Ні
91,"Шрифт, який не бачить ШІ","Стаття на DOU про шрифт, що обходить системи розпізнавання тексту ШІ — цікавий кейс.",https://dou.ua/forums/topic/60797/,Різне,"ШІ, шрифт, DOU, цікаво",article,intermediate,uk,Ні
92,Шрифтова абетка — українська ідентичність,Абетка UA — каталог шрифтів з українською ідентичністю для дизайнерів та вчителів.,https://abetkaua.com/,Різне,"шрифти, українська мова, ідентичність",platform,beginner,uk,Ні
93,Як працювати в Blender — відео,Відео-урок зі вступу до Blender — 3D-моделювання для початківців.,https://www.youtube.com/watch?v=7TVdJCoe3lc,Різне,"Blender, 3D, YouTube, творчість",video,intermediate,uk,Ні
94,Як працює ШІ — відео пояснення,Відео-пояснення принципів роботи штучного інтелекту — доступно та зрозуміло.,https://www.youtube.com/watch?v=sUG-L87RxZs,Різне,"ШІ, YouTube, пояснення",video,beginner,uk,Ні
95,Роботи перформанс 2026,YouTube-відео: виступ роботів-перформерів 2026 року — технології майбутнього вже сьогодні.,https://www.youtube.com/watch?v=LPEGve_U1cY,Різне,"роботи, YouTube, технології",video,beginner,uk,Ні
96,Rutor — відеоматеріали,Rutor — трекер для пошуку та завантаження відеоматеріалів та фільмів.,https://rutor.info/torrent/197715/,Різне,"кіно, відео, розваги",platform,beginner,uk,Ні
97,Рандомне кіно — вибір фільму,"Сервіс для вибору випадкового фільму на вечір — якщо не знаєш, що подивитися.",https://nothing-to-watch.port80.ch/,Різне,"кіно, рекомендації, розваги",tool,beginner,uk,Ні
98,Adobe Express,"Adobe Express — безкоштовний онлайн-редактор для створення плакатів, відео та графіки.",https://new.express.adobe.com/,Творчість,"Adobe, дизайн, візуальний контент",tool,beginner,uk,Ні
99,Blogger,Blogger від Google — безкоштовна платформа для створення власного блогу або сайту класу.,https://www.blogger.com/about/,Творчість,"блог, Blogger, Google, письменництво",tool,beginner,uk,Ні
100,Caligraphr — власний шрифт,Calligraphr — сервіс для створення власного рукописного шрифту з вашого почерку.,https://www.calligraphr.com/en/,Творчість,"шрифти, каліграфія, творчість",tool,intermediate,uk,Ні
101,Canva,"Canva — найпопулярніший онлайн-редактор для дизайну: презентації, плакати, соцмережі.",https://www.canva.com/,Творчість,"Canva, дизайн, презентації",tool,beginner,uk,Ні
102,Flinga — спільна дошка,Flinga — спільна інтерактивна дошка для командної роботи та мозкових штурмів на уроці.,https://flinga.fi/s/FM256VY,Творчість,"Flinga, колаборація, інтерактивна дошка",tool,beginner,uk,Ні
103,JSFiddle — онлайн-редактор коду,JSFiddle — онлайн-редактор HTML/CSS/JavaScript для практики веброзробки прямо в браузері.,https://jsfiddle.net/g7jh8mrc/,Творчість,"JavaScript, HTML, CSS, кодування",tool,intermediate,uk,Ні
104,Mentimeter — інтерактивні опитування,Mentimeter — інструмент для інтерактивних опитувань і голосувань в реальному часі на уроці.,https://www.mentimeter.com/,Творчість,"Mentimeter, опитування, інтерактивність",tool,beginner,uk,Ні
105,Scratch — програмування для дітей,Scratch від MIT — безкоштовне середовище для вивчення програмування через візуальні блоки.,https://scratch.mit.edu/projects/editor/?tutorial=getStarted,Творчість,"Scratch, програмування, MIT, діти",tool,beginner,uk,Ні
106,Wakelet — колекції посилань,"Wakelet — платформа для створення та ділення колекцій посилань, відео та матеріалів.",https://wakelet.com/,Творчість,"Wakelet, колекції, освіта",tool,beginner,uk,Ні
107,Wayground — навчальні ігри,Wayground — платформа для створення навчальних ігор та вікторин для учнів.,https://wayground.com/,Творчість,"вікторина, гейміфікація, навчання",tool,beginner,uk,Ні
108,Wordwall — конструктор вправ,"Wordwall — конструктор інтерактивних ігор та вправ для уроків: вікторини, сортування, кросворди.",https://wordwall.net/uk/community,Творчість,"Wordwall, ігри, інтерактивні вправи",tool,beginner,uk,Ні
109,Приклад сторінки HTML,Приклад простої HTML-сторінки на JSFiddle — для демонстрації основ розмітки учням.,https://jsfiddle.net/eoh60t8k/,Творчість,"HTML, приклад, веброзробка",tool,beginner,uk,Ні
110,Створення шкали часу,Time.graphics — безкоштовний онлайн-редактор для створення інтерактивних шкал часу.,https://time.graphics/editor,Творчість,"шкала часу, timeline, інтерактивність",tool,beginner,uk,Ні
